release_date;movie;production_budget;domestic_gross;worldwide_gross;distributor;mpaa_rating;genre;profit_ratio;decade
2005-07-22;November;250000;191862;191862;Other;R;Drama;7,67448000000000e-01;2000
1998-08-28;I Married a Strange Person;250000;203134;203134;Other;NA;Comedy;8,12536000000000e-01;1990
1997-03-28;Love and Other Catastrophes;250000;212285;743216;Other;R;Comedy;2,97286400000000e+00;1990
2000-07-14;Chuck&Buck;250000;1055671;1157672;Other;R;Drama;4,63068800000000e+00;2000
2011-10-28;Like Crazy;250000;3395391;3728400;Paramount Pictures;PG-13;Drama;1,49136000000000e+01;2010
2003-04-11;Better Luck Tomorrow;250000;3802390;3809226;Paramount Pictures;R;Drama;1,52369040000000e+01;2000
2017-04-28;Sleight;250000;3930990;3934450;Other;R;Action;1,57378000000000e+01;2010
2002-06-28;Lovely and Amazing;250000;4210379;4613482;Other;R;Drama;1,84539280000000e+01;2000
2012-08-17;Compliance;270000;319285;830700;Other;R;Drama;3,07666666666667e+00;2010
2005-05-06;Fighting Tommy Riley;300000;10514;10514;Other;R;Drama;3,50466666666667e-02;2000
1998-08-07;First Love, Last Rites;300000;10876;10876;Other;R;Drama;3,62533333333333e-02;1990
2011-03-11;3 Backyards;300000;39475;39475;Other;R;Drama;1,31583333333333e-01;2010
2005-07-15;First Morning;300000;87264;87264;Other;PG-13;Drama;2,90880000000000e-01;2000
1998-09-11;Let's Talk About Sex;300000;373615;373615;Other;NA;Comedy;1,24538333333333e+00;1990
2008-12-10;Wendy and Lucy;300000;865695;1416046;Other;R;Drama;4,72015333333333e+00;2000
1996-09-20;When The Cat's Away;300000;1652472;2525984;Other;R;Comedy;8,41994666666667e+00;1990
2003-10-17;Pieces of April;300000;2528664;3571253;Other;PG-13;Comedy;1,19041766666667e+01;2000
2000-03-10;God's Army;300000;2637726;2652515;Other;PG;Drama;8,84171666666667e+00;2000
1999-11-24;Tumbleweeds;312000;1350248;1788168;Other;PG-13;Drama;5,73130769230769e+00;1990
1978-10-17;Halloween;325000;47000000;70000000;Other;R;Horror;2,15384615384615e+02;1970
1987-01-01;American Ninja 2: The Confrontation;350000;4000000;4000000;NA;NA;Action;1,14285714285714e+01;1980
1980-01-01;Maniac;350000;10000000;10000000;Other;NA;Horror;2,85714285714286e+01;1980
2005-10-13;The Dark Hours;400000;423;423;Other;R;Horror;1,05750000000000e-03;2000
2004-12-10;Fabled;400000;31425;31425;Other;R;Horror;7,85625000000000e-02;2000
2001-07-27;Jackpot;400000;44452;44452;NA;R;Drama;1,11130000000000e-01;2000
1983-01-01;E tu vivrai nel terrore - L'aldilà;400000;126387;126387;NA;NA;Horror;3,15967500000000e-01;1980
2008-10-24;Heroes;400000;655538;655538;Other;R;Adventure;1,63884500000000e+00;2000
2006-08-02;Quinceanera;400000;1692693;2797199;Other;R;Drama;6,99299750000000e+00;2000
1975-05-10;Monty Python and the Holy Grail;400000;3427696;5028948;NA;NA;Comedy;1,25723700000000e+01;1970
2004-06-11;Napoleon Dynamite;400000;44540956;46122713;Other;PG;Comedy;1,15306782500000e+02;2000
1990-08-03;Metropolitan;430000;2938000;2938000;NA;PG-13;Comedy;6,83255813953488e+00;1990
2006-08-11;Conversations with Other Women;450000;379418;1297745;Other;R;Comedy;2,88387777777778e+00;2000
1997-08-22;Sunday;450000;410919;450349;NA;NA;Drama;1,00077555555556e+00;1990
2006-03-31;Brick;450000;2075743;4243996;Other;R;Drama;9,43110222222222e+00;2000
2009-09-25;Paranormal Activity;450000;107918810;194183034;Paramount Pictures;R;Horror;4,31517853333333e+02;2000
2001-11-02;Everything Put Together;500000;0;7890;NA;R;Drama;1,57800000000000e-02;2000
2005-10-21;The Californians;500000;4134;4134;Other;PG;Drama;8,26800000000000e-03;2000
1991-01-01;Johnny Suede;500000;55000;55000;Other;R;Drama;1,10000000000000e-01;1990
2015-12-11;O Menino e o Mundo;500000;129479;271893;Other;PG;Adventure;5,43786000000000e-01;2010
2006-03-24;Lonesome Jim;500000;154187;602789;Other;R;Comedy;1,20557800000000e+00;2000
2010-10-29;Monsters;500000;237301;5639730;Other;R;Drama;1,12794600000000e+01;2010
2003-08-29;Civil Brand;500000;254293;254293;Other;R;Drama;5,08586000000000e-01;2000
1998-02-13;Hurricane Streets;500000;334041;367582;Other;NA;Drama;7,35164000000000e-01;1990
2013-08-23;Drinking Buddies;500000;343706;407100;Other;R;Drama;8,14200000000000e-01;2010
2004-08-20;Mean Creek;500000;603951;1348750;Other;R;Drama;2,69750000000000e+00;2000
1999-07-30;Twin Falls Idaho;500000;985341;1027228;Other;R;Drama;2,05445600000000e+00;1990
2003-01-31;The R.M.;500000;1111615;1111615;Other;PG;Comedy;2,22323000000000e+00;2000
2000-06-09;Groove;500000;1115313;1167524;Other;R;Comedy;2,33504800000000e+00;2000
2004-01-30;Osama;500000;1127331;1971479;Other;PG-13;Drama;3,94295800000000e+00;2000
2002-02-01;The Singles Ward;500000;1250798;1250798;Other;PG;Comedy;2,50159600000000e+00;2000
2010-01-22;To Save a Life;500000;3777210;3824868;Other;PG-13;Drama;7,64973600000000e+00;2010
2003-10-03;The Station Agent;500000;5801558;9470209;Other;R;Drama;1,89404180000000e+01;2000
1974-11-15;Benji;500000;31559560;31559560;NA;G;Adventure;6,31191200000000e+01;1970
2008-09-26;Fireproof;500000;33456317;33473297;Other;PG;Drama;6,69465940000000e+01;2000
1980-05-09;Friday the 13th;550000;39754601;59754601;Paramount Pictures;NA;Horror;1,08644729090909e+02;1980
1964-08-11;A Hard Day's Night;560000;1537860;1626784;Universal;G;Comedy;2,90497142857143e+00;1960
2015-05-22;Drunk Wedding;600000;3301;3301;Paramount Pictures;R;Comedy;5,50166666666667e-03;2010
1999-07-02;Broken Vessels;600000;15030;85343;NA;R;Drama;1,42238333333333e-01;1990
2000-10-31;Mercy Streets;600000;173599;173599;NA;PG-13;Drama;2,89331666666667e-01;2000
1977-08-10;The Kentucky Fried Movie;600000;15000000;20000000;Other;NA;Comedy;3,33333333333333e+01;1970
1999-07-14;The Blair Witch Project;600000;140539099;248300000;Other;R;Horror;4,13833333333333e+02;1990
1998-06-19;Hav Plenty;650000;2301777;2301777;Other;R;Comedy;3,54119538461538e+00;1990
2006-08-11;Half Nelson;700000;2697938;4911725;Other;R;Drama;7,01675000000000e+00;2000
1968-06-25;La mariée était en noir;747000;44566;44566;Other;NA;Drama;5,96599732262383e-02;1960
2013-10-11;All the Boys Love Mandy Lane;750000;0;1960521;Other;R;Horror;2,61402800000000e+00;2010
2005-07-01;Undead;750000;41196;229250;Other;R;Horror;3,05666666666667e-01;2000
2014-08-29;Il conformista;750000;59656;89609;Other;R;Drama;1,19478666666667e-01;2010
2012-02-03;The Innkeepers;750000;78396;1011535;Other;R;Horror;1,34871333333333e+00;2010
2012-06-08;Safety Not Guaranteed;750000;4010957;4422318;Other;R;Comedy;5,89642400000000e+00;2010
1973-08-11;American Graffiti;777000;115000000;140000000;Universal;PG;Drama;1,80180180180180e+02;1970
2004-08-06;Saints and Soldiers;780000;1310470;1310470;Other;PG-13;Drama;1,68008974358974e+00;2000
2004-05-07;The Mudge Boy;800000;62544;62544;Other;R;Drama;7,81800000000000e-02;2000
1993-10-01;Ruby in Paradise;800000;1001437;1001437;NA;R;Drama;1,25179625000000e+00;1990
2003-03-28;Raising Victor Vargas;800000;2073984;2900578;Other;R;Drama;3,62572250000000e+00;2000
1996-05-10;Welcome to the Dollhouse;800000;4198137;5034794;Other;R;Comedy;6,29349250000000e+00;1990
2011-12-30;Jodaeiye Nader az Simin;800000;7098492;24426169;Other;PG-13;Drama;3,05327112500000e+01;2010
2002-10-25;Time Changer;825000;1500711;1500711;Other;PG;Drama;1,81904363636364e+00;2000
2004-01-30;Latter Days;850000;833118;865708;Other;R;Drama;1,01848000000000e+00;2000
2012-08-31;For a Good Time, Call;850000;1251749;1386088;Other;R;Comedy;1,63069176470588e+00;2010
1942-08-13;Bambi;858000;102797000;268000000;Other;G;Drama;3,12354312354312e+02;1940
2006-08-25;The Quiet;900000;381420;381420;Other;R;Drama;4,23800000000000e-01;2000
2011-08-26;Circumstance;900000;454121;958978;Other;R;Drama;1,06553111111111e+00;2010
2016-04-01;Meet the Blacks;900000;9097072;9097072;Other;R;Comedy;1,01078577777778e+01;2010
2013-07-12;Fruitvale Station;900000;16098998;17549645;Other;R;Drama;1,94996055555556e+01;2010
2017-05-12;Lowriders;916000;6179955;6188421;Other;PG-13;Drama;6,75591812227074e+00;2010
2012-04-13;L!fe Happens;930000;30905;30905;Other;R;Comedy;3,32311827956989e-02;2010
2002-09-27;Charly;950000;814666;814666;Other;PG;Comedy;8,57543157894737e-01;2000
2006-04-14;Hard Candy;950000;1024640;8267066;Other;R;Horror;8,70217473684210e+00;2000
2006-04-21;In Her Line of Fire;1000000;884;884;Other;R;Action;8,84000000000000e-04;2000
2015-05-15;Childless;1000000;1036;1036;Other;R;Drama;1,03600000000000e-03;2010
2005-03-18;The Helix…Loaded;1000000;3700;3700;Other;R;Comedy;3,70000000000000e-03;2000
2015-04-10;The Sisterhood of Night;1000000;6870;6870;Other;PG-13;Drama;6,87000000000000e-03;2010
2008-11-21;Special;1000000;7202;26822;Other;R;Drama;2,68220000000000e-02;2000
2014-10-17;Camp X-Ray;1000000;9837;9837;Other;R;Drama;9,83700000000000e-03;2010
2016-03-11;Creative Control;1000000;63014;63014;Other;R;Drama;6,30140000000000e-02;2010
2012-06-01;Hardflip;1000000;96734;96734;Other;PG-13;Drama;9,67340000000000e-02;2010
2009-10-30;The House of the Devil;1000000;101215;102812;Other;R;Horror;1,02812000000000e-01;2000
2001-08-22;Lisa Picard is Famous;1000000;113433;113433;NA;PG-13;Comedy;1,13433000000000e-01;2000
2002-12-30;Love Liza;1000000;213137;213137;NA;R;Drama;2,13137000000000e-01;2000
2003-08-22;The Battle of Shaker Heights;1000000;280351;839145;Other;PG-13;Comedy;8,39145000000000e-01;2000
2014-07-18;I Origins;1000000;336472;852399;Other;R;Drama;8,52399000000000e-01;2010
2000-05-05;Luminarias;1000000;428535;428535;NA;R;Comedy;4,28535000000000e-01;2000
2007-10-19;Wristcutters: A Love Story;1000000;446165;473769;Other;R;Comedy;4,73769000000000e-01;2000
2003-05-02;Blue Car;1000000;464126;475367;Other;R;Drama;4,75367000000000e-01;2000
1997-06-20;Dream With The Fishes;1000000;542909;542909;Other;R;Drama;5,42909000000000e-01;1990
2014-10-24;23 Blast;1000000;549185;549185;Other;PG-13;Drama;5,49185000000000e-01;2010
2003-02-14;All the Real Girls;1000000;549666;703020;Other;R;Drama;7,03020000000000e-01;2000
2011-07-29;The Future;1000000;568662;1239174;Other;R;Drama;1,23917400000000e+00;2010
2014-05-09;Palo Alto;1000000;767732;1156309;Other;R;Drama;1,15630900000000e+00;2010
2000-12-01;Panic;1000000;779137;1425707;Other;R;Drama;1,42570700000000e+00;2000
2017-08-18;Patti Cake$;1000000;800148;1471090;Other;R;Comedy;1,47109000000000e+00;2010
1998-10-09;Slam;1000000;1009819;1087521;Other;R;Drama;1,08752100000000e+00;1990
2001-12-07;No Man's Land;1000000;1067481;2684207;Other;R;Drama;2,68420700000000e+00;2000
2003-09-19;Bubba Ho-Tep;1000000;1239183;1492895;Other;R;Comedy;1,49289500000000e+00;2000
2009-09-18;The Secrets of Jonathan Sperry;1000000;1355079;1355079;Other;PG;Drama;1,35507900000000e+00;2000
1998-04-24;Two Girls and a Guy;1000000;2057193;2315026;Other;R;Drama;2,31502600000000e+00;1990
2001-11-21;Sidewalks of New York;1000000;2402459;3575308;Other;R;Comedy;3,57530800000000e+00;2000
2008-08-01;Frozen River;1000000;2511476;6030129;Other;R;Drama;6,03012900000000e+00;2000
2005-08-03;Junebug;1000000;2678010;3553253;Other;R;Drama;3,55325300000000e+00;2000
2014-09-12;The Skeleton Twins;1000000;5284309;5797192;Other;R;Drama;5,79719200000000e+00;2010
2012-03-23;October Baby;1000000;5355847;5391992;Other;PG-13;Drama;5,39199200000000e+00;2010
2012-10-19;The Sessions;1000000;6002451;11495204;Other;R;Drama;1,14952040000000e+01;2010
2015-09-25;The Green Inferno;1000000;7192291;12931569;Other;R;Horror;1,29315690000000e+01;2010
1970-01-01;Beyond the Valley of the Dolls;1000000;9000000;9000000;20th Century Fox;NA;Comedy;9,00000000000000e+00;1970
2006-01-20;Transamerica;1000000;9015303;16553163;Other;R;Drama;1,65531630000000e+01;2000
2010-12-29;Blue Valentine;1000000;9737892;16566240;Other;R;Drama;1,65662400000000e+01;2010
2000-08-18;Godzilla 2000;1000000;10037390;10037390;Sony Pictures;PG;Action;1,00373900000000e+01;2000
1987-09-18;Hellraiser;1000000;14564000;14575148;Other;R;Horror;1,45751480000000e+01;1980
1963-05-08;Dr. No;1000000;16067035;59567035;Other;PG;Action;5,95670350000000e+01;1960
1981-04-10;The Howling;1000000;17985000;17985000;Other;NA;Horror;1,79850000000000e+01;1980
2012-05-25;Chernobyl Diaries;1000000;18119640;42411721;Warner Bros.;R;Horror;4,24117210000000e+01;2010
2013-08-23;You're Next;1000000;18494006;26887177;Other;R;Horror;2,68871770000000e+01;2010
1980-02-01;The Fog;1000000;21378361;21378361;Other;NA;Horror;2,13783610000000e+01;1980
1976-02-08;Taxi Driver;1000000;28262574;28316211;Other;R;Drama;2,83162110000000e+01;1970
2015-04-17;Unfriended;1000000;32789645;62869004;Universal;R;Horror;6,28690040000000e+01;2010
2012-01-06;The Devil Inside;1000000;53262945;101759490;Paramount Pictures;R;Horror;1,01759490000000e+02;2010
1976-11-21;Rocky;1000000;117235147;225000000;Other;PG;Drama;2,25000000000000e+02;1970
1943-01-23;Casablanca;1039000;10462500;10462500;Warner Bros.;PG;Drama;1,00697786333013e+01;1940
2012-05-18;Beyond the Black Rainbow;1100000;56491;56491;Other;R;Drama;5,13554545454545e-02;2010
1987-09-04;The Offspring;1100000;1355728;1355728;Other;R;Horror;1,23248000000000e+00;1980
2012-03-23;Serbuan maut;1100000;4105123;9297407;Other;R;Action;8,45218818181818e+00;2010
2005-02-11;Ong-Bak;1100000;4563167;24062965;Other;R;Action;2,18754227272727e+01;2000
2005-12-25;Wolf Creek;1100000;16186348;29005064;Other;R;Horror;2,63682400000000e+01;2000
2005-10-07;Waiting...;1125000;16124543;18673274;Other;R;Comedy;1,65984657777778e+01;2000
2014-03-21;God’s Not Dead;1150000;60755732;63777092;Other;PG;Drama;5,54583408695652e+01;2010
1982-11-19;Q;1200000;255000;255000;Other;NA;Horror;2,12500000000000e-01;1980
2015-08-28;Que Horas Ela Volta?;1200000;376976;3247411;Other;R;Drama;2,70617583333333e+00;2010
2012-04-13;Blue Like Jazz;1200000;595018;595018;Other;PG-13;Comedy;4,95848333333333e-01;2010
2000-07-07;But I'm a Cheerleader;1200000;2205627;2509344;Other;R;Comedy;2,09112000000000e+00;2000
2013-04-19;Home Run;1200000;2859955;2859955;Other;PG-13;Drama;2,38329583333333e+00;2010
2000-11-10;You Can Count on Me;1200000;9180275;10827356;Other;R;Drama;9,02279666666667e+00;2000
2002-02-22;Monsoon Wedding;1200000;13876974;27025600;Other;R;Comedy;2,25213333333333e+01;2000
2002-02-15;Super Troopers;1200000;18492362;23046142;Other;R;Comedy;1,92051183333333e+01;2000
