Participant ID,Gender,Cartoon,Rating 
P1,Male,Chota Bheem,8.5
P2,Male,Chota Bheem,6
P3,Male,Chota Bheem,8
P4,Male,Chota Bheem,7
P5,Male,Chota Bheem,8
P6,Male,Chota Bheem,10
P7,Male,Chota Bheem,5
P8,Male,Chota Bheem,7.8
P9,Male,Chota Bheem,8.5
P10,Male,Chota Bheem,5
P11,Male,Chota Bheem,7
P12,Male,Chota Bheem,6
P13,Male,Chota Bheem,6
P14,Male,Chota Bheem,6
P15,Male,Chota Bheem,6
P16,Female,Chota Bheem,8
P17,Female,Chota Bheem,6.8
P18,Female,Chota Bheem,4
P19,Female,Chota Bheem,7.5
P20,Female,Chota Bheem,7
P21,Female,Chota Bheem,6
P22,Female,Chota Bheem,6
P23,Female,Chota Bheem,8
P24,Female,Chota Bheem,6
P25,Female,Chota Bheem,6
P26,Female,Chota Bheem,8
P27,Female,Chota Bheem,8
P28,Female,Chota Bheem,6
P29,Female,Chota Bheem,5
P30,Female,Chota Bheem,3
P31,Female,Doraemon,8
P32,Female,Doraemon,8
P33,Female,Doraemon,9
P34,Female,Doraemon,7
P35,Female,Doraemon,5
P36,Female,Doraemon,10
P37,Female,Doraemon,9
P38,Female,Doraemon,4
P39,Female,Doraemon,6
P40,Female,Doraemon,6
P41,Female,Doraemon,10
P42,Female,Doraemon,6
P43,Female,Doraemon,7
P44,Female,Doraemon,8
P45,Female,Doraemon,6
P46,Male,Doraemon,8
P47,Male,Doraemon,8
P48,Male,Doraemon,7
P49,Male,Doraemon,8
P50,Male,Doraemon,10
P51,Male,Doraemon,6.5
P52,Male,Doraemon,9
P53,Male,Doraemon,2
P54,Male,Doraemon,5
P55,Male,Doraemon,6
P56,Male,Doraemon,10
P57,Male,Doraemon,9
P58,Male,Doraemon,9
P59,Male,Doraemon,1
P60,Male,Doraemon,10
P61,Male,Dragon Tales,10
P62,Male,Dragon Tales,4
P63,Male,Dragon Tales,7
P64,Male,Dragon Tales,10
P65,Male,Dragon Tales,7
P66,Male,Dragon Tales,5
P67,Male,Dragon Tales,9
P68,Male,Dragon Tales,8.5
P69,Male,Dragon Tales,7
P70,Male,Dragon Tales,7
P71,Male,Dragon Tales,6
P72,Male,Dragon Tales,5
P73,Male,Dragon Tales,1
P74,Male,Dragon Tales,7
P75,Male,Dragon Tales,6
P76,Female,Dragon Tales,8
P77,Female,Dragon Tales,9
P78,Female,Dragon Tales,10
P79,Female,Dragon Tales,8
P80,Female,Dragon Tales,9
P81,Female,Dragon Tales,8
P82,Female,Dragon Tales,10
P83,Female,Dragon Tales,6
P84,Female,Dragon Tales,8
P85,Female,Dragon Tales,8
P86,Female,Dragon Tales,6.5
P87,Female,Dragon Tales,7
P88,Female,Dragon Tales,8
P89,Female,Dragon Tales,7
P90,Female,Dragon Tales,6
